,0,1,2,3,4,5,6,7,8,9,10,11
5164,Bulgaria,1987,male,25-34 years,110,634200,17.34,Bulgaria1987,,"28,101,000,000",3355,Boomers
5165,Qatar,2012,male,5-14 years,0,91507,0.0,Qatar2012,0.848,"186,833,516,484",93270,Generation Z
5166,Sweden,1989,male,75+ years,137,257100,53.29,Sweden1989,,"214,875,344,910",26978,G.I. Generation
5167,Greece,1995,female,25-34 years,11,781099,1.41,Greece1995,0.772,"136,878,366,230",13550,Generation X
5168,Belize,1993,male,55-74 years,0,6600,0.0,Belize1993,,"559,858,250",3278,Silent
5169,Panama,2006,female,25-34 years,3,275020,1.09,Panama2006,,"18,141,666,300",5972,Generation X
5170,Austria,1989,female,5-14 years,0,437116,0.0,Austria1989,,"133,105,805,928",18544,Generation X
5171,Barbados,1990,female,75+ years,0,9000,0.0,Barbados1990,0.716,"2,023,318,252",8537,G.I. Generation
5172,Uruguay,2015,female,35-54 years,38,440475,8.63,Uruguay2015,,"53,274,304,222",16696,Generation X
5173,Luxembourg,1996,male,55-74 years,18,36000,50.0,Luxembourg1996,,"21,776,609,772",56169,Silent
5174,Luxembourg,2014,female,25-34 years,2,40862,4.89,Luxembourg2014,0.892,"66,327,344,189",126352,Millenials
5175,Aruba,2006,female,25-34 years,0,6928,0.0,Aruba2006,,"2,421,474,860",25622,Generation X
5176,Puerto Rico,1985,female,15-24 years,3,336300,0.89,Puerto Rico1985,,"20,289,200,000",6582,Generation X
5177,Albania,2002,male,35-54 years,35,382139,9.16,Albania2002,,"4,435,078,648",1573,Boomers
5178,Netherlands,1995,female,55-74 years,127,1388600,9.15,Netherlands1995,0.861,"446,528,959,649",30850,Silent
5179,Armenia,2000,female,5-14 years,0,328000,0.0,Armenia2000,0.648,"1,911,563,665",530,Millenials
5180,Singapore,2000,female,75+ years,11,47400,23.21,Singapore2000,0.8190000000000001,"95,833,932,715",31446,G.I. Generation
5181,Guatemala,2009,male,15-24 years,118,1500901,7.86,Guatemala2009,,"37,733,994,976",3053,Millenials
5182,Canada,2013,male,55-74 years,812,3724622,21.8,Canada2013,0.912,"1,842,628,005,830",55310,Boomers
5183,Denmark,2005,female,35-54 years,58,762175,7.61,Denmark2005,0.902,"264,467,308,109",51960,Boomers
5184,Qatar,2009,male,75+ years,0,1779,0.0,Qatar2009,,"97,798,351,648",64911,Silent
5185,Trinidad and Tobago,2009,male,75+ years,3,14407,20.82,Trinidad and Tobago2009,,"19,175,196,446",15652,Silent
5186,Puerto Rico,2001,female,5-14 years,0,297009,0.0,Puerto Rico2001,,"69,208,400,000",19649,Millenials
5187,South Africa,1996,female,15-24 years,12,4384015,0.27,South Africa1996,,"147,607,982,695",3908,Generation X
5188,Switzerland,2008,female,55-74 years,160,814507,19.64,Switzerland2008,,"554,363,487,120",76202,Silent
5189,Guatemala,2000,female,75+ years,0,80541,0.0,Guatemala2000,0.552,"19,288,827,159",1977,G.I. Generation
5190,Austria,2008,female,15-24 years,18,500763,3.59,Austria2008,,"430,294,287,388",54294,Millenials
5191,El Salvador,2002,female,15-24 years,76,565074,13.45,El Salvador2002,,"12,664,190,300",2421,Millenials
5192,Grenada,2002,female,35-54 years,0,9715,0.0,Grenada2002,,"540,336,926",5879,Boomers
5193,Estonia,1997,female,35-54 years,29,196914,14.73,Estonia1997,,"5,066,240,419",3806,Boomers
5194,Brazil,1997,male,5-14 years,53,18197954,0.29,Brazil1997,,"883,199,625,325",5891,Millenials
5195,Azerbaijan,1997,female,35-54 years,8,755500,1.06,Azerbaijan1997,,"3,962,710,163",590,Boomers
5196,Ukraine,1998,male,15-24 years,1049,3701100,28.34,Ukraine1998,,"41,883,241,472",879,Generation X
5197,Cuba,2006,female,15-24 years,17,781124,2.18,Cuba2006,,"52,742,800,000",4951,Millenials
5198,Barbados,1995,female,75+ years,0,9800,0.0,Barbados1995,0.731,"2,261,969,870",9378,G.I. Generation
5199,Suriname,1986,male,35-54 years,7,32808,21.34,Suriname1986,,"891,000,000",2731,Silent
5200,Albania,1993,male,5-14 years,1,367000,0.27,Albania1993,,"1,228,071,038",437,Millenials
5201,Ukraine,2015,male,55-74 years,1644,3747724,43.87,Ukraine2015,,"91,030,959,455",2256,Boomers
5202,Costa Rica,2014,male,75+ years,6,69706,8.61,Costa Rica2014,0.7659999999999999,"50,577,769,838",11485,Silent
5203,Guyana,2010,male,15-24 years,27,68249,39.56,Guyana2010,0.624,"2,273,225,042",3384,Millenials
5204,Luxembourg,1985,female,75+ years,4,13500,29.63,Luxembourg1985,0.752,"4,738,559,685",13743,G.I. Generation
5205,Grenada,1994,male,75+ years,0,1116,0.0,Grenada1994,,"325,111,815",3735,G.I. Generation
5206,Australia,2004,female,15-24 years,67,1364452,4.91,Australia2004,,"611,904,253,806",32454,Millenials
5207,Albania,1989,female,15-24 years,5,299900,1.67,Albania1989,,"2,335,124,988",833,Generation X
5208,Spain,1987,female,35-54 years,180,4549700,3.96,Spain1987,,"317,882,187,037",8727,Silent
5209,Panama,1987,male,55-74 years,9,90700,9.92,Panama1987,,"6,827,665,300",3447,G.I. Generation
5210,Brazil,1991,female,35-54 years,331,15218376,2.18,Brazil1991,,"602,860,000,000",4490,Boomers
5211,Ukraine,2010,male,75+ years,495,804695,61.51,Ukraine2010,0.732,"136,013,155,905",3141,Silent
5212,Saint Vincent and Grenadines,2006,female,55-74 years,0,5404,0.0,Saint Vincent and Grenadines2006,,"610,930,037",6142,Silent
5213,Fiji,2004,male,5-14 years,0,86049,0.0,Fiji2004,,"2,727,507,213",3744,Millenials
5214,Georgia,2009,female,25-34 years,2,328450,0.61,Georgia2009,,"10,766,809,099",2589,Generation X
5215,Brazil,1989,male,35-54 years,1067,13704169,7.79,Brazil1989,,"425,595,310,000",3310,Silent
5216,Germany,1992,female,75+ years,1105,3796100,29.11,Germany1992,,"2,123,130,870,382",27888,G.I. Generation
5217,Singapore,2005,female,35-54 years,50,604300,8.27,Singapore2005,0.841,"127,417,688,056",38122,Boomers
5218,Panama,2000,male,35-54 years,44,320403,13.73,Panama2000,0.7140000000000001,"12,304,115,000",4577,Boomers
5219,Turkmenistan,2010,male,25-34 years,40,419805,9.53,Turkmenistan2010,0.6659999999999999,"22,583,157,895",4962,Generation X
5220,Colombia,1988,female,25-34 years,41,2734383,1.5,Colombia1988,,"39,212,550,050",1369,Boomers
5221,Mexico,2013,female,35-54 years,263,15162201,1.73,Mexico2013,0.755,"1,274,443,078,609",11478,Generation X
5222,New Zealand,2007,female,75+ years,7,142060,4.93,New Zealand2007,,"137,316,087,308",34892,Silent
5223,Maldives,2010,female,75+ years,0,2155,0.0,Maldives2010,0.6829999999999999,"2,588,176,055",7806,Silent
5224,Israel,1988,female,75+ years,14,88100,15.89,Israel1988,,"50,078,767,903",12687,G.I. Generation
5225,Cuba,1995,female,25-34 years,161,1090200,14.77,Cuba1995,0.653,"30,429,803,651",2993,Generation X
5226,Norway,1996,male,55-74 years,82,349700,23.45,Norway1996,,"163,517,783,497",40098,Silent
5227,Denmark,2006,female,35-54 years,57,763418,7.47,Denmark2006,,"282,884,912,894",55354,Boomers
5228,Seychelles,1985,male,55-74 years,1,2800,35.71,Seychelles1985,,"168,887,539",2947,G.I. Generation
5229,Saint Lucia,2005,male,25-34 years,1,12581,7.95,Saint Lucia2005,0.691,"951,207,366",6292,Generation X
5230,Antigua and Barbuda,2013,male,55-74 years,0,5238,0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Boomers
5231,Serbia,2008,male,55-74 years,296,787243,37.6,Serbia2008,,"49,259,526,053",7049,Silent
5232,Belize,2007,female,75+ years,0,2027,0.0,Belize2007,,"1,290,573,400",4951,Silent
5233,Jamaica,1991,female,75+ years,0,46188,0.0,Jamaica1991,,"4,071,219,198",1889,G.I. Generation
5234,Russian Federation,2010,female,35-54 years,1680,21894031,7.67,Russian Federation2010,,"1,524,916,112,079",11307,Generation X
5235,Colombia,2004,male,35-54 years,465,5016477,9.27,Colombia2004,,"117,074,863,822",3033,Boomers
5236,Mexico,2002,male,15-24 years,919,10391176,8.84,Mexico2002,,"772,106,378,935",8357,Millenials
5237,Italy,2001,female,25-34 years,99,4430014,2.23,Italy2001,,"1,162,317,852,349",21392,Generation X
5238,Albania,1989,female,25-34 years,2,266300,0.75,Albania1989,,"2,335,124,988",833,Boomers
5239,Trinidad and Tobago,2001,female,5-14 years,2,110619,1.81,Trinidad and Tobago2001,,"8,824,873,259",7458,Millenials
5240,Antigua and Barbuda,2012,female,75+ years,0,1625,0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Silent
5241,Ireland,1998,female,55-74 years,12,279666,4.29,Ireland1998,,"90,082,034,316",26115,Silent
5242,United Kingdom,1985,male,75+ years,264,1202838,21.95,United Kingdom1985,0.753,"489,285,164,271",9231,G.I. Generation
5243,Lithuania,2001,female,15-24 years,18,245848,7.32,Lithuania2001,,"12,252,498,921",3719,Millenials
5244,Barbados,2003,male,5-14 years,0,19901,0.0,Barbados2003,,"3,274,850,000",12887,Millenials
5245,Sweden,1994,female,75+ years,70,444500,15.75,Sweden1994,,"226,079,963,712",27658,G.I. Generation
5246,Chile,2015,female,35-54 years,136,2431495,5.59,Chile2015,,"243,999,477,738",14729,Generation X
5247,Serbia,2003,male,15-24 years,64,511900,12.5,Serbia2003,,"21,188,704,081",2979,Millenials
5248,Trinidad and Tobago,2011,male,35-54 years,41,181905,22.54,Trinidad and Tobago2011,0.767,"25,433,011,405",20557,Generation X
5249,Panama,2014,male,75+ years,8,53886,14.85,Panama2014,0.78,"49,921,464,400",14181,Silent
5250,Bahrain,1985,female,5-14 years,0,41400,0.0,Bahrain1985,0.727,"3,651,861,702",9980,Generation X
5251,Italy,2013,male,25-34 years,342,3500820,9.77,Italy2013,0.873,"2,130,491,320,659",37050,Millenials
5252,Belize,1997,female,15-24 years,0,22352,0.0,Belize1997,,"654,314,350",3487,Generation X
5253,Denmark,2006,male,35-54 years,161,782816,20.57,Denmark2006,,"282,884,912,894",55354,Boomers
5254,Philippines,1992,male,25-34 years,66,5080108,1.3,Philippines1992,,"52,976,344,929",958,Boomers
5255,Sri Lanka,2003,male,35-54 years,1483,2413016,61.46,Sri Lanka2003,,"18,881,765,437",1077,Boomers
5256,Antigua and Barbuda,2008,female,55-74 years,0,4587,0.0,Antigua and Barbuda2008,,"1,368,431,037",16238,Silent
5257,Belize,2001,female,5-14 years,0,32384,0.0,Belize2001,,"871,860,600",4013,Millenials
5258,Turkey,2015,male,55-74 years,223,5079228,4.39,Turkey2015,,"859,796,872,794",11961,Boomers
5259,Luxembourg,1989,male,75+ years,5,7600,65.79,Luxembourg1989,,"10,391,504,709",29239,G.I. Generation
5260,Russian Federation,2002,female,25-34 years,1086,9838656,11.04,Russian Federation2002,,"345,110,438,692",2527,Generation X
5261,Belgium,2011,female,5-14 years,0,597487,0.0,Belgium2011,0.8859999999999999,"527,008,453,887",50893,Generation Z
5262,Ireland,2007,female,25-34 years,19,375744,5.06,Ireland2007,,"269,917,519,847",67032,Generation X
5263,Barbados,1991,female,55-74 years,3,20000,15.0,Barbados1991,,"2,007,109,829",8469,Silent
5264,Kazakhstan,2010,female,75+ years,39,263531,14.8,Kazakhstan2010,0.7659999999999999,"148,047,348,241",10062,Silent
5265,Australia,2011,male,75+ years,146,588053,24.83,Australia2011,0.93,"1,394,280,784,778",66770,Silent
5266,Finland,1996,male,75+ years,44,91800,47.93,Finland1996,,"132,099,404,608",27508,G.I. Generation
5267,Saint Lucia,1994,female,25-34 years,0,11849,0.0,Saint Lucia1994,,"600,005,564",4704,Boomers
5268,Ukraine,1995,male,75+ years,548,575700,95.19,Ukraine1995,0.662,"48,213,868,178",996,G.I. Generation
5269,Bahrain,2009,male,55-74 years,1,38002,2.63,Bahrain2009,,"22,938,218,085",20988,Silent
5270,Turkey,2015,female,55-74 years,42,5456986,0.77,Turkey2015,,"859,796,872,794",11961,Boomers
5271,Mexico,2005,female,75+ years,11,1378312,0.8,Mexico2005,0.722,"877,476,221,382",9071,Silent
5272,Ecuador,2003,male,75+ years,11,125204,8.79,Ecuador2003,,"32,432,858,000",2755,Silent
5273,Germany,2002,male,75+ years,1147,1898834,60.41,Germany2002,,"2,079,136,081,310",26441,Silent
5274,Czech Republic,2001,female,55-74 years,92,1084169,8.49,Czech Republic2001,,"67,523,642,262",6863,Silent
5275,Iceland,1991,male,15-24 years,13,21300,61.03,Iceland1991,,"6,807,365,898",28857,Generation X
5276,Kazakhstan,2004,female,5-14 years,14,1263986,1.11,Kazakhstan2004,,"43,151,647,003",3110,Millenials
5277,Iceland,2003,female,55-74 years,4,22054,18.14,Iceland2003,,"11,316,441,660",42174,Silent
5278,South Africa,2012,male,55-74 years,35,2198707,1.59,South Africa2012,0.659,"396,332,702,639",8347,Boomers
5279,Austria,2014,female,55-74 years,108,993973,10.87,Austria2014,0.885,"441,885,415,806",54278,Boomers
5280,Poland,2006,female,25-34 years,82,2917366,2.81,Poland2006,,"344,748,646,558",9485,Generation X
5281,Maldives,2004,male,55-74 years,0,11921,0.0,Maldives2004,,"1,226,829,563",4373,Silent
5282,Italy,2014,female,15-24 years,46,2894944,1.59,Italy2014,0.873,"2,151,732,868,243",37035,Millenials
5283,Mexico,2014,male,15-24 years,1334,11603241,11.5,Mexico2014,0.7559999999999999,"1,314,385,330,073",11663,Millenials
5284,Singapore,1993,female,55-74 years,21,157900,13.3,Singapore1993,,"60,644,572,348",22835,Silent
5285,Luxembourg,1989,male,25-34 years,9,32500,27.69,Luxembourg1989,,"10,391,504,709",29239,Boomers
5286,Kyrgyzstan,2012,female,5-14 years,3,511854,0.59,Kyrgyzstan2012,0.645,"6,605,139,933",1339,Generation Z
5287,Panama,2002,male,5-14 years,2,325809,0.61,Panama2002,,"12,994,310,400",4641,Millenials
5288,Kuwait,1999,female,5-14 years,0,172800,0.0,Kuwait1999,,"30,121,879,435",15864,Millenials
5289,Thailand,2004,female,15-24 years,162,5201780,3.11,Thailand2004,,"172,895,476,153",2849,Millenials
5290,Armenia,2002,female,75+ years,1,58553,1.71,Armenia2002,,"2,376,335,048",788,Silent
5291,Paraguay,1985,male,35-54 years,11,288558,3.81,Paraguay1985,0.564,"2,966,234,106",964,Silent
5292,France,2002,male,5-14 years,23,3788047,0.61,France2002,,"1,494,286,655,374",26714,Millenials
5293,Guatemala,2002,female,15-24 years,28,1278693,2.19,Guatemala2002,,"20,776,669,467",2022,Millenials
5294,Argentina,2013,male,35-54 years,604,4950850,12.2,Argentina2013,0.833,"552,025,140,252",14206,Generation X
5295,Ecuador,2012,male,15-24 years,240,1462193,16.41,Ecuador2012,0.727,"87,924,544,000",6364,Millenials
5296,Turkmenistan,1992,female,55-74 years,14,159700,8.77,Turkmenistan1992,,"3,200,539,816",984,Silent
5297,Armenia,2009,male,25-34 years,2,198646,1.01,Armenia2009,,"8,647,936,748",3215,Generation X
5298,Kyrgyzstan,1992,male,35-54 years,135,366000,36.89,Kyrgyzstan1992,,"2,316,562,500",603,Boomers
5299,Germany,1992,male,25-34 years,1576,7109900,22.17,Germany1992,,"2,123,130,870,382",27888,Boomers
5300,Costa Rica,1996,male,55-74 years,19,156359,12.15,Costa Rica1996,,"11,618,286,553",3639,Silent
5301,Bahamas,2002,male,35-54 years,1,38667,2.59,Bahamas2002,,"8,881,160,000",31432,Boomers
5302,Greece,1986,male,55-74 years,86,889600,9.67,Greece1986,,"56,379,593,720",6040,G.I. Generation
5303,Ireland,1999,male,55-74 years,58,270407,21.45,Ireland1999,,"98,691,849,563",28344,Silent
5304,Barbados,1987,male,55-74 years,1,13000,7.69,Barbados1987,,"1,713,771,321",7333,G.I. Generation
5305,Austria,1992,female,55-74 years,132,809987,16.3,Austria1992,,"195,078,126,346",26450,Silent
5306,Argentina,2000,male,55-74 years,602,2333377,25.8,Argentina2000,0.762,"284,203,750,000",8462,Silent
5307,Canada,1986,male,25-34 years,719,2248800,31.97,Canada1986,,"377,437,927,312",16062,Boomers
5308,Belize,2010,female,15-24 years,0,32738,0.0,Belize2010,0.71,"1,397,113,450",4923,Millenials
5309,Aruba,2010,female,55-74 years,1,10186,9.82,Aruba2010,,"2,467,703,911",25974,Silent
5310,Sweden,2002,female,25-34 years,36,584302,6.16,Sweden2002,,"263,926,220,333",31175,Generation X
5311,Cuba,2011,female,15-24 years,13,761258,1.71,Cuba2011,0.7759999999999999,"68,990,000,000",6419,Millenials
5312,Austria,1989,female,15-24 years,48,580616,8.27,Austria1989,,"133,105,805,928",18544,Generation X
5313,Bulgaria,2006,female,25-34 years,17,558543,3.04,Bulgaria2006,,"34,130,122,491",4638,Generation X
5314,Netherlands,2008,female,25-34 years,41,1001975,4.09,Netherlands2008,,"936,228,211,513",60375,Generation X
5315,Bahamas,1995,male,55-74 years,0,10600,0.0,Bahamas1995,,"3,429,000,000",13473,Silent
5316,Bulgaria,1995,female,75+ years,83,233300,35.58,Bulgaria1995,0.696,"13,063,422,619",1636,G.I. Generation
5317,United Kingdom,2011,male,35-54 years,1611,8617712,18.69,United Kingdom2011,0.9009999999999999,"2,619,700,404,733",44491,Generation X
5318,Sweden,2013,female,25-34 years,46,593992,7.74,Sweden2013,0.905,"578,742,001,488",64133,Millenials
5319,Slovakia,2002,female,75+ years,15,163273,9.19,Slovakia2002,,"35,083,608,131",6869,Silent
5320,Russian Federation,1998,female,15-24 years,927,10752700,8.62,Russian Federation1998,,"270,953,116,950",1948,Generation X
5321,Colombia,2012,female,75+ years,6,642251,0.93,Colombia2012,0.715,"369,659,700,376",8586,Silent
5322,Ireland,2007,male,5-14 years,7,292637,2.39,Ireland2007,,"269,917,519,847",67032,Generation Z
5323,Kiribati,1992,male,75+ years,0,286,0.0,Kiribati1992,,"47,737,955",759,G.I. Generation
5324,Puerto Rico,2004,female,25-34 years,6,273756,2.19,Puerto Rico2004,,"80,322,313,000",22874,Generation X
5325,Philippines,2008,male,55-74 years,144,3349085,4.3,Philippines2008,,"174,195,136,253",2188,Silent
5326,Belize,2000,male,5-14 years,0,32066,0.0,Belize2000,0.6829999999999999,"832,072,450",3960,Millenials
5327,Luxembourg,1987,male,15-24 years,4,27400,14.6,Luxembourg1987,,"8,614,215,559",24654,Generation X
5328,Portugal,1988,female,35-54 years,39,1239967,3.15,Portugal1988,,"56,352,797,354",5995,Silent
5329,Belgium,2013,male,5-14 years,3,638399,0.47,Belgium2013,0.888,"520,925,468,953",49489,Generation Z
5330,Luxembourg,1986,female,75+ years,1,13900,7.19,Luxembourg1986,,"6,921,264,132",20004,G.I. Generation
5331,Uzbekistan,1997,female,25-34 years,88,1803700,4.88,Uzbekistan1997,,"14,744,603,774",724,Generation X
5332,Canada,2002,female,5-14 years,17,1997372,0.85,Canada2002,,"757,950,678,647",25570,Millenials
5333,Australia,1991,female,55-74 years,96,1362200,7.05,Australia1991,,"325,358,292,128",20320,Silent
5334,Greece,1997,female,35-54 years,15,1423001,1.05,Greece1997,,"143,157,600,025",13968,Boomers
5335,New Zealand,2010,female,75+ years,9,148370,6.07,New Zealand2010,0.905,"146,583,831,538",36145,Silent
5336,Sweden,2000,female,35-54 years,123,1200882,10.24,Sweden2000,0.897,"259,802,012,617",30896,Boomers
5337,Finland,2015,male,25-34 years,92,357334,25.75,Finland2015,,"232,464,833,066",44862,Millenials
5338,South Africa,2009,female,75+ years,3,502919,0.6,South Africa2009,,"297,216,730,669",6517,Silent
5339,United States,1986,female,5-14 years,56,16517000,0.34,United States1986,,"4,590,155,000,000",20588,Generation X
5340,Romania,2003,female,55-74 years,176,2280751,7.72,Romania2003,,"59,867,801,205",2898,Silent
5341,Barbados,2007,male,25-34 years,0,19468,0.0,Barbados2007,,"4,523,750,000",17528,Generation X
5342,United Kingdom,2009,male,5-14 years,4,3591283,0.11,United Kingdom2009,,"2,382,825,985,356",41074,Generation Z
5343,Lithuania,2006,male,15-24 years,97,244528,39.67,Lithuania2006,,"30,216,060,233",9667,Millenials
5344,Republic of Korea,2011,male,25-34 years,1384,3868804,35.77,Republic of Korea2011,,"1,202,463,682,634",25157,Millenials
5345,Ireland,1996,male,55-74 years,44,256900,17.13,Ireland1996,,"75,880,632,560",22478,Silent
5346,Denmark,2013,male,75+ years,62,166011,37.35,Denmark2013,0.9229999999999999,"343,584,385,594",64831,Silent
5347,Sweden,2010,female,55-74 years,105,1063334,9.87,Sweden2010,0.9009999999999999,"488,377,689,565",55352,Silent
5348,Guatemala,2003,male,5-14 years,6,1729518,0.35,Guatemala2003,,"21,917,706,491",2079,Millenials
5349,Jamaica,2001,female,25-34 years,0,214639,0.0,Jamaica2001,,"9,178,016,493",3838,Generation X
5350,Bulgaria,1988,male,5-14 years,21,669200,3.14,Bulgaria1988,,"22,555,941,176",2688,Generation X
5351,Uruguay,1987,female,5-14 years,1,267000,0.37,Uruguay1987,,"7,367,494,080",2651,Generation X
5352,Mexico,1995,female,55-74 years,34,3538000,0.96,Mexico1995,0.67,"360,073,909,244",4505,Silent
5353,Germany,2000,male,55-74 years,2528,8760853,28.86,Germany2000,0.855,"1,949,953,934,034",24922,Silent
5354,Estonia,1997,male,5-14 years,5,106361,4.7,Estonia1997,,"5,066,240,419",3806,Millenials
5355,Ukraine,2008,male,55-74 years,1854,3810278,48.66,Ukraine2008,,"179,992,405,832",4104,Silent
5356,Norway,1994,female,55-74 years,47,393000,11.96,Norway1994,,"127,131,461,120",31520,Silent
5357,Denmark,1995,male,75+ years,85,133500,63.67,Denmark1995,0.83,"185,006,961,302",37841,G.I. Generation
5358,Grenada,2007,female,25-34 years,1,7699,12.99,Grenada2007,,"758,683,593",8035,Generation X
5359,Iceland,2012,male,55-74 years,6,28966,20.71,Iceland2012,0.897,"14,292,008,745",48083,Boomers
5360,Ukraine,2011,female,15-24 years,157,2973653,5.28,Ukraine2011,0.738,"163,159,671,670",3788,Millenials
5361,Kuwait,1993,female,55-74 years,0,23500,0.0,Kuwait1993,,"23,941,391,391",18798,Silent
5362,Bulgaria,2000,male,25-34 years,102,587705,17.36,Bulgaria2000,0.713,"13,153,016,531",1680,Generation X
5363,Finland,1989,male,15-24 years,170,337400,50.39,Finland1989,,"119,064,708,328",25582,Generation X
5364,Slovakia,2008,male,55-74 years,132,441896,29.87,Slovakia2008,,"100,324,627,215",19530,Silent
5365,Maldives,2010,male,35-54 years,0,41732,0.0,Maldives2010,0.6829999999999999,"2,588,176,055",7806,Generation X
5366,Trinidad and Tobago,1994,female,15-24 years,10,107700,9.29,Trinidad and Tobago1994,,"4,947,205,860",4254,Generation X
5367,Guyana,2013,male,5-14 years,1,81898,1.22,Guyana2013,0.634,"2,990,006,534",4372,Generation Z
5368,Republic of Korea,2013,female,25-34 years,698,3536920,19.73,Republic of Korea2013,,"1,305,604,981,272",27060,Millenials
5369,Jamaica,1990,male,5-14 years,0,277197,0.0,Jamaica1990,0.6709999999999999,"4,592,224,067",2155,Generation X
5370,Finland,2002,male,75+ years,57,113353,50.29,Finland2002,,"139,552,983,249",28390,Silent
5371,Chile,2008,female,55-74 years,64,1216310,5.26,Chile2008,,"179,638,496,279",11653,Silent
5372,Estonia,2014,male,75+ years,26,33259,78.17,Estonia2014,0.861,"26,224,622,451",21117,Silent
5373,Uzbekistan,1996,female,35-54 years,74,1906900,3.88,Uzbekistan1996,,"13,948,892,216",703,Boomers
5374,Argentina,1997,female,5-14 years,11,3327355,0.33,Argentina1997,,"292,859,000,000",9057,Millenials
5375,Greece,2013,male,75+ years,52,475655,10.93,Greece2013,0.863,"239,862,011,450",22994,Silent
5376,Suriname,2008,female,25-34 years,4,38543,10.38,Suriname2008,,"3,532,969,035",7601,Generation X
5377,Argentina,1992,female,25-34 years,79,2329100,3.39,Argentina1992,,"228,788,617,202",7615,Boomers
5378,Saint Vincent and Grenadines,2012,male,75+ years,0,1346,0.0,Saint Vincent and Grenadines2012,0.715,"692,933,741",6918,Silent
5379,Uzbekistan,1992,female,5-14 years,8,2683800,0.3,Uzbekistan1992,,"12,941,297,376",709,Millenials
5380,Sweden,2000,female,25-34 years,30,601750,4.99,Sweden2000,0.897,"259,802,012,617",30896,Generation X
5381,Saint Lucia,2011,female,5-14 years,0,13949,0.0,Saint Lucia2011,0.73,"1,437,684,815",8826,Generation Z
5382,Russian Federation,2007,female,25-34 years,1051,10944247,9.6,Russian Federation2007,,"1,299,705,247,686",9643,Generation X
5383,Argentina,1991,female,35-54 years,133,3691000,3.6,Argentina1991,,"189,719,984,268",6404,Boomers
5384,Saint Vincent and Grenadines,2009,female,25-34 years,0,8643,0.0,Saint Vincent and Grenadines2009,,"674,922,481",6754,Generation X
5385,Switzerland,2011,female,75+ years,44,391559,11.24,Switzerland2011,0.925,"699,579,638,638",93053,Silent
5386,Grenada,2015,female,75+ years,0,2210,0.0,Grenada2015,,"997,007,926",10290,Silent
5387,Mexico,2015,male,35-54 years,1560,15181008,10.28,Mexico2015,,"1,169,622,672,463",10228,Generation X
5388,Finland,1997,male,75+ years,53,94200,56.26,Finland1997,,"126,833,123,354",26296,G.I. Generation
5389,Germany,1998,female,35-54 years,855,11290200,7.57,Germany1998,,"2,243,225,519,618",28733,Boomers
5390,Uzbekistan,1994,female,55-74 years,53,940400,5.64,Uzbekistan1994,,"12,899,156,991",674,Silent
5391,Azerbaijan,1994,male,25-34 years,3,638600,0.47,Azerbaijan1994,,"3,313,739,674",508,Boomers
5392,Jamaica,1989,female,25-34 years,0,188945,0.0,Jamaica1989,,"4,404,970,059",2087,Boomers
5393,Ecuador,1996,female,15-24 years,102,1143710,8.92,Ecuador1996,,"25,226,393,197",2474,Generation X
5394,Armenia,1996,female,75+ years,0,51100,0.0,Armenia1996,,"1,596,968,913",458,G.I. Generation
5395,Kuwait,2010,male,5-14 years,0,237315,0.0,Kuwait2010,0.809,"115,419,050,942",35171,Generation Z
5396,Ecuador,1998,male,5-14 years,14,1429190,0.98,Ecuador1998,,"27,981,896,948",2626,Millenials
5397,Germany,1995,male,15-24 years,630,4738700,13.29,Germany1995,0.83,"2,591,620,035,485",33420,Generation X
5398,Armenia,1993,male,35-54 years,25,371900,6.72,Armenia1993,,"1,201,313,201",357,Boomers
5399,United Kingdom,1996,male,75+ years,218,1460275,14.93,United Kingdom1996,,"1,408,781,591,264",25609,G.I. Generation
5400,Oman,2009,female,75+ years,0,13886,0.0,Oman2009,,"48,388,296,489",18557,Silent
5401,Saint Lucia,2006,female,25-34 years,0,13567,0.0,Saint Lucia2006,,"1,134,193,630",7391,Generation X
5402,Thailand,1999,male,55-74 years,469,3298897,14.22,Thailand1999,,"126,668,932,160",2203,Silent
5403,Lithuania,2002,female,35-54 years,74,498421,14.85,Lithuania2002,,"14,278,357,284",4360,Boomers
5404,Israel,2013,male,25-34 years,47,574069,8.19,Israel2013,0.893,"292,489,185,194",40477,Millenials
5405,Poland,2012,female,55-74 years,312,4497710,6.94,Poland2012,0.838,"500,360,816,828",13894,Boomers
5406,Paraguay,2005,female,25-34 years,13,410317,3.17,Paraguay2005,0.6459999999999999,"8,734,653,809",1704,Generation X
5407,Romania,2007,female,35-54 years,159,3054484,5.21,Romania2007,,"175,933,642,292",8593,Boomers
5408,Costa Rica,1993,male,25-34 years,38,286500,13.26,Costa Rica1993,,"9,537,297,507",3342,Boomers
5409,Guatemala,2010,male,15-24 years,91,1542758,5.9,Guatemala2010,0.611,"41,338,595,381",3260,Millenials
5410,Spain,1999,male,35-54 years,689,5278476,13.05,Spain1999,,"633,194,118,900",16756,Boomers
5411,Romania,1997,female,55-74 years,173,2409000,7.18,Romania1997,,"35,838,588,170",1677,Silent
5412,Slovakia,2000,male,25-34 years,83,403167,20.59,Slovakia2000,0.763,"29,114,875,622",5696,Generation X
5413,Armenia,2003,male,55-74 years,14,194165,7.21,Armenia2003,,"2,807,061,009",928,Silent
